register_id,name,institution_id,institution_name,created,modified,addresses_roadtype_id,addresses_roadtype_name,addresses_road_id,addresses_road_name,addresses_start_street_number,addresses_end_street_number,addresses_neighborhood_id,addresses_neighborhood_name,addresses_district_id,addresses_district_name,addresses_zip_code,addresses_town,addresses_main_address,addresses_type,values_id,values_attribute_id,values_category,values_attribute_name,values_value,values_outstanding,values_description,secondary_filters_id,secondary_filters_name,secondary_filters_fullpath,secondary_filters_tree,secondary_filters_asia_id,geo_epgs_25831_x,geo_epgs_25831_y,geo_epgs_4326_lat,geo_epgs_4326_lon,estimated_dates,start_date,end_date
﻿2008164453,Espai Familiar de Criança Municipal Socioeducatiu La Casa dels Colors,,,2002-01-08T00:00:00+01:00,2023-05-30T14:59:28.508012+02:00,,,369408.0,Passeig de la Zona Franca,54.0,,12.0,la Marina del Prat Vermell,3.0,Sants-Montjuïc,8038.0,Barcelona,True,,133810.0,20001.0,Telèfons,Tel.,932 235 344,True,,,,,,,428407.1446432883,4578361.40177966,41.35357189372766,2.1441472226723945,,,
﻿92086001941,Facultat de Filosofia - UB,,,1988-04-11T00:00:00+02:00,2024-05-24T11:48:18.282971+02:00,,,216906.0,C Montalegre,6.0,,1.0,el Raval,1.0,Ciutat Vella,8001.0,BARCELONA,True,,160789.0,20001.0,Telèfons,Tel.,934037722,True,,56732071.0,Universitats,Planol BCN >> Educació >> Ensenyament reglat >> Universitats,651.0,65103003001003.0,430379.0357577841,4581724.135357528,41.38403193047776,2.167331566974877,,,
﻿92086019394,Col·legi d'Educació Especial Pont del Dragó,,,1989-04-18T00:00:00+02:00,2022-09-17T04:29:38.614368+02:00,,,292507.0,C Gran de la Sagrera,179.0,,61.0,la Sagrera,9.0,Sant Andreu,8027.0,BARCELONA,True,,166261.0,20001.0,Telèfons,Tel.,932430983,True,,,,,,,432381.3713337506,4586493.461253321,41.4271586207016,2.190744387584967,,,
﻿92086013615,Centre de Recerca en Estudi de les Dones (UB),,,1985-06-17T00:00:00+02:00,2022-02-08T12:46:53.360112+01:00,,,2050.0,C Adolf Florensa,8.0,,20.0,la Maternitat i Sant Ramon,4.0,Les Corts,8028.0,BARCELONA,True,,164887.0,20001.0,Telèfons,Tel.,934481399,True,,56732071.0,Universitats,Planol BCN >> Educació >> Ensenyament reglat >> Universitats,651.0,65103003001003.0,426046.3459114905,4581570.819933735,41.382264473514816,2.115536952946174,,,
﻿92086010037,"Escola Tècnica Superior d'Enginyeria de Camins, Canals i Ports de Barcelona - UPC",,,1987-10-13T00:00:00+01:00,2024-05-27T10:35:19.903846+02:00,,,169023.0,C Jordi Girona,1.0,,21.0,Pedralbes,4.0,Les Corts,8034.0,BARCELONA,True,,161853.0,20006.0,Telèfons,Informació,934016900,True,,56732071.0,Universitats,Planol BCN >> Educació >> Ensenyament reglat >> Universitats,651.0,65103003001003.0,426043.07775572536,4582423.99160766,41.38994831282826,2.115393722114865,,,
﻿75990055574,Centre Perfeccionament Enric Mestres,,,1996-09-18T00:00:00+02:00,2023-10-03T10:18:32.864689+02:00,,,127704.0,C Floridablanca,59.0,,10.0,Sant Antoni,2.0,Eixample,8015.0,BARCELONA,True,,138064.0,20001.0,Telèfons,Tel.,934232749,True,,,,,,,429591.8395428938,4581091.673367347,41.37826704788546,2.157991134763364,,,
﻿75990040205,Centre Educatiu FEP Sant Ramon Nonat,,,1996-09-18T00:00:00+02:00,2023-10-03T10:45:29.490621+02:00,,,84102.0,C Collblanc,72.0,,20.0,la Maternitat i Sant Ramon,4.0,Les Corts,8028.0,BARCELONA,True,,137710.0,20001.0,Telèfons,Tel.,933339972,True,,56731069.0,Ensenyament infantil (3-6 anys),Planol BCN >> Educació >> Ensenyament infantil >> Ensenyament infantil (3-6 anys),651.0,65103003000001.0,426104.40450148215,4580867.791808311,41.375937935729695,2.116316955865797,,,
﻿75990040205,Centre Educatiu FEP Sant Ramon Nonat,,,1996-09-18T00:00:00+02:00,2023-10-03T10:45:29.490621+02:00,,,84102.0,C Collblanc,72.0,,20.0,la Maternitat i Sant Ramon,4.0,Les Corts,8028.0,BARCELONA,True,,137710.0,20001.0,Telèfons,Tel.,933339972,True,,56732068.0,Educació primària,Planol BCN >> Educació >> Ensenyament reglat >> Educació primària,651.0,65103003001000.0,426104.40450148215,4580867.791808311,41.375937935729695,2.116316955865797,,,
﻿75990040205,Centre Educatiu FEP Sant Ramon Nonat,,,1996-09-18T00:00:00+02:00,2023-10-03T10:45:29.490621+02:00,,,84102.0,C Collblanc,72.0,,20.0,la Maternitat i Sant Ramon,4.0,Les Corts,8028.0,BARCELONA,True,,137710.0,20001.0,Telèfons,Tel.,933339972,True,,56732069.0,Educació secundària,Planol BCN >> Educació >> Ensenyament reglat >> Educació secundària,651.0,65103003001001.0,426104.40450148215,4580867.791808311,41.375937935729695,2.116316955865797,,,
﻿75990040449,Autoescola Carmel,,,1996-09-18T00:00:00+02:00,2023-10-03T10:45:28.588163+02:00,,,85900.0,C Conca de Tremp,5.0,,37.0,el Carmel,7.0,Horta-Guinardó,8032.0,BARCELONA,True,,137721.0,20001.0,Telèfons,Tel.,934293702,True,,,,,,,429388.3964508724,4586192.339576454,41.4241890260409,2.154963474203018,,,
﻿92086002874,Llar d'Infants Tagore,,,1984-05-30T00:00:00+02:00,2022-06-02T10:08:50.857053+02:00,,,223606.0,C Muntaner,476.0,,26.0,Sant Gervasi - Galvany,5.0,Sarrià-Sant Gervasi,8006.0,BARCELONA,True,,160280.0,20001.0,Telèfons,Tel.,932 091 131,True,,56731068.0,Ensenyament infantil (0-3 anys),Planol BCN >> Educació >> Ensenyament infantil >> Ensenyament infantil (0-3 anys),651.0,65103003000000.0,427984.87058638106,4583809.287513484,41.40260131459858,2.138452398704789,,,
﻿92086033381,Centre de Formació de Persones Adultes Montserrat Roig,,,1990-07-27T00:00:00+02:00,2022-09-17T04:44:06.329562+02:00,,,346800.0,Rbla Poblenou,130.0,,68.0,el Poblenou,10.0,Sant Martí,8018.0,BARCELONA,True,,167950.0,20001.0,Telèfons,Tel.,932 564 935,True,(Rbla Prim),56733068.0,Adults,Planol BCN >> Educació >> Ensenyament no reglat >> Adults,651.0,65103003002000.0,432908.5687224408,4583952.345130873,41.40431575391908,2.197335085345547,,,
﻿92086033600,Facultat de Ciències Econòmiques i Empresarials - UPF,,,1990-10-18T00:00:00+01:00,2021-06-17T13:13:54.163859+02:00,,,132908.0,C Ramon Trias Fargas,25.0,,67.0,la Vila Olímpica del Poblenou,10.0,Sant Martí,8005.0,BARCELONA,True,,167964.0,20003.0,Telèfons,Centraleta,935421700,True,,56732071.0,Universitats,Planol BCN >> Educació >> Ensenyament reglat >> Universitats,651.0,65103003001003.0,432362.0263673597,4582284.352293278,41.38924681822701,2.190983335170805,,,
﻿92086015466,Aula de Música,92086015460.0,Centre Moral i Cultural del Poblenou,1989-02-27T00:00:00+01:00,2022-09-17T04:25:23.715323+02:00,,,270901.0,C Pujades,176.0,,68.0,el Poblenou,10.0,Sant Martí,8005.0,BARCELONA,True,,164323.0,20001.0,Telèfons,Tel.,934853699,True,,56732070.0,Música,Planol BCN >> Educació >> Ensenyament reglat >> Música,651.0,65103003001002.0,433140.2485422849,4583596.858643833,41.401133285382,2.200145848591939,,,
﻿2093123421,Escola Bressol Municipal La Mar Xica,,,2002-04-03T00:00:00+02:00,2021-07-12T17:49:52.288032+02:00,,,75702.0,C Carmen Amaya,2.0,,68.0,el Poblenou,10.0,Sant Martí,8005.0,BARCELONA,True,,135311.0,20001.0,Telèfons,Tel.,932211969,True,,56731068.0,Ensenyament infantil (0-3 anys),Planol BCN >> Educació >> Ensenyament infantil >> Ensenyament infantil (0-3 anys),651.0,65103003000000.0,433428.307877499,4582919.338309602,41.39505493685655,2.203666123017716,,,
